2019-03-16 10:33:10,126 com.zaxxer.hikari.pool.HikariPool [HikariPool-1 housekeeper] (HikariPool.java:766) WARN  --> HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=12h47m10s819ms809µs974ns).
2019-03-16 10:35:47,657 App.Aop.WebLogAspect [http-nio-8080-exec-7] (WebLogAspect.java:35) INFO  --> URL : http://localhost:8080/login
2019-03-16 10:35:47,658 App.Aop.WebLogAspect [http-nio-8080-exec-7] (WebLogAspect.java:36) INFO  --> HTTP_METHOD : GET
2019-03-16 10:35:47,659 App.Aop.WebLogAspect [http-nio-8080-exec-7] (WebLogAspect.java:37) INFO  --> IP : 0:0:0:0:0:0:0:1
2019-03-16 10:35:47,659 App.Aop.WebLogAspect [http-nio-8080-exec-7] (WebLogAspect.java:38) INFO  --> CLASS_METHOD : App.Controller.JspController.aaa
2019-03-16 10:35:47,660 App.Aop.WebLogAspect [http-nio-8080-exec-7] (WebLogAspect.java:39) INFO  --> ARGS : [null, null]
2019-03-16 10:35:47,660 App.Aop.WebLogAspect [http-nio-8080-exec-7] (WebLogAspect.java:46) INFO  --> RESPONSE : login
2019-03-16 10:35:47,661 App.Aop.WebLogAspect [http-nio-8080-exec-7] (WebLogAspect.java:47) INFO  --> SPEND TIME : 4
2019-03-16 10:35:56,335 App.Aop.WebLogAspect [http-nio-8080-exec-9] (WebLogAspect.java:35) INFO  --> URL : http://localhost:8080/login
2019-03-16 10:35:56,336 App.Aop.WebLogAspect [http-nio-8080-exec-9] (WebLogAspect.java:36) INFO  --> HTTP_METHOD : GET
2019-03-16 10:35:56,336 App.Aop.WebLogAspect [http-nio-8080-exec-9] (WebLogAspect.java:37) INFO  --> IP : 0:0:0:0:0:0:0:1
2019-03-16 10:35:56,336 App.Aop.WebLogAspect [http-nio-8080-exec-9] (WebLogAspect.java:38) INFO  --> CLASS_METHOD : App.Controller.JspController.aaa
2019-03-16 10:35:56,337 App.Aop.WebLogAspect [http-nio-8080-exec-9] (WebLogAspect.java:39) INFO  --> ARGS : [null, null]
2019-03-16 10:35:56,337 App.Aop.WebLogAspect [http-nio-8080-exec-9] (WebLogAspect.java:46) INFO  --> RESPONSE : login
2019-03-16 10:35:56,337 App.Aop.WebLogAspect [http-nio-8080-exec-9] (WebLogAspect.java:47) INFO  --> SPEND TIME : 2
2019-03-16 10:36:04,338 com.zaxxer.hikari.pool.PoolBase [http-nio-8080-exec-10] (PoolBase.java:176) WARN  --> HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1e2a7ad0 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2019-03-16 10:48:19,049 org.hibernate.validator.internal.util.Version [background-preinit] (Version.java:21) INFO  --> HV000001: Hibernate Validator 6.0.13.Final
2019-03-16 10:48:19,182 App.App [main] (StartupInfoLogger.java:50) INFO  --> Starting App on DESKTOP-Q8QA67I with PID 17040 (started by 12442 in D:\Project\ichuan粉丝站后台管理系统)
2019-03-16 10:48:19,183 App.App [main] (SpringApplication.java:679) INFO  --> The following profiles are active: test
2019-03-16 10:48:20,356 org.springframework.boot.web.embedded.tomcat.TomcatWebServer [main] (TomcatWebServer.java:90) INFO  --> Tomcat initialized with port(s): 8080 (http)
2019-03-16 10:48:20,505 org.springframework.web.context.ContextLoader [main] (ServletWebServerApplicationContext.java:296) INFO  --> Root WebApplicationContext: initialization completed in 1283 ms
2019-03-16 10:48:20,917 org.springframework.security.web.DefaultSecurityFilterChain [main] (DefaultSecurityFilterChain.java:43) INFO  --> Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5600a5da, org.springframework.security.web.context.SecurityContextPersistenceFilter@30922f8d, org.springframework.security.web.header.HeaderWriterFilter@60bf494c, org.springframework.security.web.authentication.logout.LogoutFilter@2e0fdbe9, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@5e599100, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@51ff3c4b, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@517704, org.springframework.security.web.authentication.rememberme.RememberMeAuthenticationFilter@6b162ecc, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@551be9f6, org.springframework.security.web.session.SessionManagementFilter@36f6e521, org.springframework.security.web.access.ExceptionTranslationFilter@49671897, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@7f8a9454]
2019-03-16 10:48:21,019 org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor [main] (ExecutorConfigurationSupport.java:171) INFO  --> Initializing ExecutorService 'applicationTaskExecutor'
2019-03-16 10:48:21,102 org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping [main] (WelcomePageHandlerMapping.java:61) INFO  --> Adding welcome page template: index
2019-03-16 10:48:21,260 org.springframework.boot.web.embedded.tomcat.TomcatWebServer [main] (TomcatWebServer.java:204) INFO  --> Tomcat started on port(s): 8080 (http) with context path ''
2019-03-16 10:48:21,262 App.App [main] (StartupInfoLogger.java:59) INFO  --> Started App in 2.275 seconds (JVM running for 2.893)
2019-03-16 10:50:21,662 org.springframework.web.servlet.DispatcherServlet [http-nio-8080-exec-1] (FrameworkServlet.java:524) INFO  --> Initializing Servlet 'dispatcherServlet'
2019-03-16 10:50:21,671 org.springframework.web.servlet.DispatcherServlet [http-nio-8080-exec-1] (FrameworkServlet.java:546) INFO  --> Completed initialization in 9 ms
2019-03-16 10:50:21,800 App.Aop.WebLogAspect [http-nio-8080-exec-2] (WebLogAspect.java:35) INFO  --> URL : http://localhost:8080/login
2019-03-16 10:50:21,800 App.Aop.WebLogAspect [http-nio-8080-exec-2] (WebLogAspect.java:36) INFO  --> HTTP_METHOD : GET
2019-03-16 10:50:21,801 App.Aop.WebLogAspect [http-nio-8080-exec-2] (WebLogAspect.java:37) INFO  --> IP : 0:0:0:0:0:0:0:1
2019-03-16 10:50:21,802 App.Aop.WebLogAspect [http-nio-8080-exec-2] (WebLogAspect.java:38) INFO  --> CLASS_METHOD : App.Controller.JspController.aaa
2019-03-16 10:50:21,803 App.Aop.WebLogAspect [http-nio-8080-exec-2] (WebLogAspect.java:39) INFO  --> ARGS : [null, null]
2019-03-16 10:50:21,806 App.Aop.WebLogAspect [http-nio-8080-exec-2] (WebLogAspect.java:46) INFO  --> RESPONSE : login
2019-03-16 10:50:21,806 App.Aop.WebLogAspect [http-nio-8080-exec-2] (WebLogAspect.java:47) INFO  --> SPEND TIME : 6
2019-03-16 10:50:22,164 App.Aop.WebLogAspect [http-nio-8080-exec-4] (WebLogAspect.java:35) INFO  --> URL : http://localhost:8080/login
2019-03-16 10:50:22,165 App.Aop.WebLogAspect [http-nio-8080-exec-4] (WebLogAspect.java:36) INFO  --> HTTP_METHOD : GET
2019-03-16 10:50:22,165 App.Aop.WebLogAspect [http-nio-8080-exec-4] (WebLogAspect.java:37) INFO  --> IP : 0:0:0:0:0:0:0:1
2019-03-16 10:50:22,165 App.Aop.WebLogAspect [http-nio-8080-exec-4] (WebLogAspect.java:38) INFO  --> CLASS_METHOD : App.Controller.JspController.aaa
